"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6"
"humanfridm16porta1secc1somacel11",1.31052972316768,3.23833071499759,3.82002068391314,4.07249903500753,4.09491167231468,4.222388688631,2.62911281386671,2.0869479857163,0.0206253596215766,-0.927465183921389,1.79391074514191,-1.31217471250458,1.57903336599901,-0.939173050629338,-0.986480655412082,-0.993253547937368,-0.977882523075561,-0.947543476816372,-0.808992837045042,3.54920149563655,5.28440470214672,6.01331803111823,6.1039610260485,4.99456312326462,3.64477614190506,3.90996180472878,7.28614800376188,9.70649864089564,9.6764984968358,7.71869912434066,5.22719170679256,1.54428509684391,0.351368859585058,-0.0451028724599418,0.308073607378116,0.496312369500462,0.149138997814763,1.40229106986776,1.4598962767743,1.41177686907131,1.42611840143225,1.40872918919958,1.316290661594
"humanfridm16porta1secc1somacel13",2.10431403914947,3.05119564636012,4.35068255310009,3.93623272017791,4.82717896103376,4.4764625284105,3.90609822409544,-3.10560526351399,1.06918603667884,-3.0310470566941,-1.16198943883847,-2.72096376788032,0.827937406811574,-0.970040768986477,-0.703164832291772,-0.850380568244142,-0.994668115417207,-0.991836880092595,-0.677858306797386,3.12999061035465,4.53319015293612,5.16871923781061,4.87713661556034,4.34285133141529,2.82518385567468,3.6668875791009,7.62132697505084,9.8422711285551,10.544356034492,6.89988173121308,5.03163181246456,-0.22749357409991,-1.00955431789566,0.107091524404495,0.0771576002663998,0.331765856157871,1.11471375630285,1.47489426407899,1.48593733823828,1.39200789458347,1.41867018843124,1.40000133857008,1.40350365476841
"humanfridm16porta1secc1somacel25",1.92826820748209,3.02148520082591,3.27958671495107,3.5869665373305,3.8217264992609,4.08226822241105,5.06941099778157,1.67192441830158,-2.74858568280296,-1.09796701506748,1.53340102811795,0.866880443318189,-0.512923577574089,-0.979286963612295,-0.886726938731283,-0.961560687573565,-0.978800867981721,-0.66190633589275,-0.970510523442403,2.40786075443323,3.24851403725061,4.05391766022566,4.64787471698864,4.24842470920898,2.41446226319637,2.97366230584123,5.65801728092913,7.60842577259847,9.31803905422137,11.034037495809,10.0750676964738,2.85294511245325,2.59486337583816,-2.40516170903913,-2.13528668619916,-2.04014048247335,-2.48836539166279,1.38449153971487,1.49978533862703,1.47315412132932,1.38436106151409,1.40116002596972,1.30970142925669
"humanfridm16porta1secc1somacel28",1.34767056526974,3.6795679155459,4.18836192082647,5.04033066595898,4.3537364841077,4.44522574229245,3.12149112803849,-3.10844412446258,1.30802547814655,-1.3429162443264,-1.57518355694964,-2.44066968372623,1.74279755945177,-0.984143279504072,-0.895004371726063,-0.988352845304575,-0.971862717643847,-0.992644430457259,-0.928980083842663,3.00903200175045,4.56204018952303,5.7174106529548,4.86663621068865,3.88880140542408,3.07518457212705,4.54203628390383,7.47061252202988,8.46511770061069,6.3406609086523,4.81308325729583,3.29280715816884,0.442860294481857,-0.156728072453914,-0.157673110672701,-0.468632385281459,-0.56954306939286,-0.52282031821391,1.34147987846605,1.43253673354645,1.46660252582219,1.41434730041412,1.34024148513074,1.28406933948155
"humanfridm16porta1secc1somacel3",0.203283815572226,2.15249117789665,2.94877836225668,3.93009726410541,3.35757640863638,4.49179414617929,3.4473661986626,1.56004750825547,0.995910072596429,0.135069221155486,-2.53503328063257,2.93498068512705,1.31021086201771,-0.977386703968267,-0.933902561426223,-0.998952757021964,-0.975731307964392,-0.77869485392808,-0.71679028521503,3.29233511609178,5.02669335332633,5.95304467998655,5.6058005402161,3.71754036382882,2.11080787788184,3.52457366377068,7.07976326909528,9.93321339009137,10.4614157582179,9.67035379433914,5.41092891223992,-0.00417476769935011,-0.128293253640466,0.037084229538241,0.249222253628003,0.110966046933401,-0.161275438434501,0.863639828020291,1.07030990512463,1.08020781187996,1.06499814729185,0.770067708196505,0.760313538603263
"humanfridm16porta1secc1somacel36",3.33914736271872,3.84557082658311,4.5716883405809,5.04665694378187,5.26060725413195,6.50546226041362,4.38563119372149,-2.33068002489929,1.60664981368131,-2.41834941863606,1.2358114077604,0.682251456443112,-2.4794791703389,-0.976402489200904,-0.901349198794911,-0.899451405062361,-0.895357914797852,-0.845324325595974,-0.991352463271686,2.81810750727337,4.71608257218051,5.4840195135941,5.57658350922689,4.57694319526875,3.31618672860766,3.07408401035809,6.50616043620293,9.62462127776576,11.6743080554164,10.9105193868458,6.26208100749316,-2.78090567890912,3.11961352330363,-2.94265525270684,-2.45342158216526,-2.45944359814934,-2.3483555380975,1.50995282713524,1.37541428195471,1.48452747649059,1.42825881194915,1.42613274524733,1.40390516827179
"humanfridm16porta1secc1somacel38",0.949371415282899,2.27205593922002,3.05087105961085,4.31535758365662,4.14933867821204,4.25005658381265,4.38481782185366,1.964285639155,-0.371436860276504,1.25091331839252,2.96127121862284,-2.2672886914867,-0.773551534892241,-0.906712298880888,-0.952764550581975,-0.907376607050907,-0.989191650920615,-0.915187612551627,-0.853576397484709,2.99025088444787,4.73532145141222,5.33073362954846,5.31299322395598,4.27519069349201,2.33342922050212,3.73030975192522,7.32490947749111,9.93095610801173,11.3110718921764,8.86797338384119,4.56707559749952,1.61191388077686,0.611015109649864,-0.0442132075218422,-0.239491856153004,-0.00709592843074179,0.43991313352644,1.34397306293516,1.34385909878155,1.37866698551435,1.33626382436734,1.26566657242662,1.03795271253118
"humanfridm16porta1secc1somacel4",1.84017541291477,3.21374460969104,4.18186601055215,4.44411630609138,3.9536690695794,4.52255549322601,4.18585976361502,1.92405093315963,1.21244671154502,3.01373286315007,-2.18963046278978,-1.13698114024088,1.3846654811626,-0.955276220013407,-0.881705409745351,-0.99642633055913,-0.858057929294186,-0.893325441361706,-0.3562828138621,3.35287070012493,4.96249177646447,5.60723325895181,5.67724143355027,4.84310642075383,3.28808543254135,3.59726912038363,6.58982044662453,8.30102191538993,9.07889451209407,8.62954298118673,6.15689413308533,-0.439454576442065,-0.391900927243371,0.029916344082133,-0.00963087399938791,-0.00862241178422093,-0.155175505130551,1.5349462825874,1.41998104216553,1.28198306822064,1.23656467042257,1.20361636817642,1.14200851524659
"humanfridm16porta1secc1somacel41",0.0857375912563706,1.88038865181086,3.65885094907602,3.6058428959319,3.86877928272753,3.59681401909707,1.6855107170609,2.54833055080152,1.10749817918067,-2.36578786225101,0.58565292965899,2.35614834463361,0.61988856342302,-0.994205466287868,-0.924941338264424,-0.966261571523852,-0.992700897451151,-0.951797841110781,-0.953476403921611,3.74677095806187,6.47935661071053,6.99835982905706,6.21518290680891,5.66313665138346,3.79909626983416,3.75460173171826,7.21824875653277,9.09014017242359,9.94391217523184,7.29118510050082,4.73184165119846,-0.477922070029726,-1.08798436116452,-0.189303988701188,-0.174699411548614,0.00161965600624899,1.12337416482957,1.51080784885814,1.48348658252928,1.46383146941721,1.47286229692688,1.43546640574569,1.36290462538543
"humanfridm16porta1secc1somacel44",1.62653305088298,2.76062011706065,3.23491375789686,3.46878967884405,3.51569516264901,3.54471052174513,3.18292882954329,1.07378151517757,1.36931344332634,-2.05085505132026,-1.88417701902873,-2.1837896589981,2.41398235798332,-0.982473847655512,-0.872523251176374,-0.999230776474668,-0.919541497949423,-0.872903097924039,-0.998197177175809,2.59246328072648,4.04280079479249,4.76103412727093,5.46467760018966,4.13053669978384,2.11965748184694,2.90025619702087,5.09422090312708,6.50993850260094,7.23151977025873,7.40459322460067,6.91610430105221,0.0497912422955771,0.502163457261777,0.326121831136108,0.386703721854122,0.39576395836732,0.445288124057745,1.52083881550642,1.45801629184298,1.35708717321824,1.27790581222305,1.30230061655844,1.22376086660832
